review_text,Review_Angles
These MFs getting SUED! Get yer game before it's gone!,"Legal Issues, Availability Risk"
"butcher sheep, they deserve it","Ethical Perspective, Retributive Justice"
GameFreaks could never.,"Developer Comparison, Studio Capability"
"Very fun, and with quite some unique characteristics.","Fun Factor, Uniqueness"
"Insane fun game not gonna lie, it's like ARK just with Pokemons (Pals) and Rimworld your Pals work for you they gather stone, wood etc and it's looks funny as hell in game lol, just go and buy it and see with your own eyes. You can build your base, catch a lot of Pals 111 atm if i'm not wrong, fight againts bosses and catch them too lol etc, i only found a  small bug which is pathfinding for pals, but who cares it's just a fuckin early acces game, go and buy it and play it fast as possible and if you don't like it, you can still refund, so win win","Gameplay Loop, Consumer Value, Technical Stability"
"a guy shot at me with a handgun, and now he works breaking rocks for me. Top notch. 10/10","Power Reversal, Revenge Satisfaction"
POGGERS,"Hype Perspective, Excitement"
Wow,Overall Amazement
"A survival crafting game where you catch pocket monsters called Pals and explore Palpago islands. As off now there is no real objective other than catching all the different kinds of pals, fight the 6 bosses of the game, and battle 3 different raid pals and lastly explore an oil rig floating on the sea.

Graphics - 10/10 (Game is too laggy for my pc but I am willing to do a pc upgrade to play at better fps
Pocket Monster originality with their designs - 9/10 (Every creature is carefully designed from animals or things and even culture from in real life! It is missing a point because of 2 humanoid pals that keeps on bullying me or the pal I want to catch)
Music - 7/10 (Not enough music in this game, devs please add some biome and environment music instead of just battle music)
Sounds and effects - 10/10 (Cute pals gives bonus points to me, especially Flambelle sounds)

Overall score to the game - 8/10 (Still missing a few things like overworld music and there is no Flambelle Noct/Aqua as of now)

Devs please add Flambelle Noct/Aqua and maybe more subspecies instead of just 1. Flambelles can have noct and aqua, Dazzis can have a water or rain varriant, Daedream can have a normal varriant, We need more cute/kawaii pals in the game but out of all the new or subspecies of cute pals I want to see is Flambelle Noct/Aqua.","Graphics and Performance, Design Originality, Audio Quality"
"how is this game not even out for a full year and its getting a crossover with terraria :skull:
","Release Timeline, Content Update Pace"
"This is game is fun. I have a high expectation to see in the future. However, I still hate the bug where out of sudden i feel under the rock, and the teleporting lag glitch like when i am sprinting it like pulls me backward.","Gameplay Enjoyment, Technical Stability, Future Expectations"
"survival crafting, creature collection and guns","Survival Crafting, Creature Collection, Gunplay"
Definitly worth buying if your pc can handle it,"Consumer Value, Technical Performance"
"It's not Pokemon RPG. It's closer to a spin of Ark: Survival Evolved, except your ""Pals"" are able to do automated processes to help you gather resources, build things, and etc. The large number of pals available and their each, own unique abilities is cool. Don't get me wrong, the game needs a ton of polish and bug fixes and more content, but for a first-patch early access game, if the developers don't get greedy and lazy, we might have an all-time great on our hands for the Open World survival genre.","Gameplay Mechanics, Technical Stability, Future Potential"
its just super fun! but not really for lower end gaming laptops. still struggles with all settings adjusted,"Fun Factor, Technical Performance"
i skullfu** the little monkeys and make em work the fields,"Gameplay Mechanics, Player Agency"
"I find it a bit challenging to comprehend why some individuals express such enthusiasm for this game. In my opinion, it's decent—neither outstanding nor subpar.","Overall Quality, Community Enthusiasm"
GOOD GET IT IF U LIKE LEGO FORTNITE MY MOM LIKES THIS GAME,"LEGO Fortnite Similarity, Casual/Family Appeal"
weeeeee,Fun Experience
It's pokemon but better,Comparison to Pokémon
"HOPEFULLY THEY DON'T FUMBLE THE BAG -

GAME HAS MASSIVE POTENTIAL -
BASE GAME IS AMAZING - 
NO MICROTRANSACTIONS -
LOW PRICE ENTRY -
AAA QUALITY - 
BUGS ARE PRESENT , BUT NOT GAME BREAKING -

WATCH OUT YOU MAY FIND TIME SLIP AWAY ONCE YOU ENTER -

NOW GO CATCH EM ALL!

ALSO - THERE'S GUNS!
","Consumer Value, Technical Stability, Gameplay Engagement"
"i ""accidentally"" caught a human and did some things","Gameplay Surprise, Humorous Anecdote"
peak,Peak Performance
I hate having to type something,"Usability Friction, User Effort"
Pokemon + ark = palworld,"Genre Blend, Comparative Innovation"
"Monster Collecting + Base Building + Crafting + Survival + 3rd Person Shooter

This should be how this game is described as, not 'Pokemon with Guns'. This game plays nothing like Pokemon, and really the similarities end with the monster collecting. (Let's overlook the design similarities as that's a whole other argument...) You run around the world whacking away at pals and environment alike to get resources together to build your base and raise your army of slav... i mean pals! You then have your pals do the mundane chores around your base like gathering, cooking, item creation, etc. As you level up and unlock new technologies, you will grow out your base in not only size and function, but also aesthetic looks. But do be careful, for one of the several npc factions might decide to raid your base for funzies. So after you've set up and defended your base, you can finally step back out into the world to find more pals to enslav.. befriend and uncover dungeons to explore and conquer. All this prepares you for the boss tower fights, which is essentially the current end game 'raid' fights.

There's so much more to get into or go over that this review could go on and on. As this is in early access, there are a lot of things that need polishing. I hope the story is expanded upon, maybe see some more cool cut scenes, and the developers holding up their timeline for updates. This game is diamond in the rough that has already captivated millions of players, just imagine what it'll do once it is fully polished.","Genre Accuracy, Gameplay Loop"
I really enjoy the game espically being able to change my pals name but I would like to be able to change the colour of my armour and the colour of my Pals but other than that I am really enjoying the game and its leveling up system to unlock new tools and facilities,"Customization Options, Progression System"
"you can catch a person.

10/10",Gameplay Mechanic
i play this on xbox gamepass as well as here. its a good game  way better than pokemon but impartial as i never really liked pokemon as is.,"Consumer Value, Comparative Quality"
hey guys did you know that in terms o-,Informational Trivia
,
good,Overall Satisfaction
Game is great and lots of fun! Wish you would get achievements if you are playing on someone elses server.,"Gameplay Enjoyment, Multiplayer Achievements"
"
It's not Pokemon with Guns, It's Ark with Pokemon.. But good.

It's good. Like, crack good.","Genre Comparison, Addictiveness"
it is amazing,Consumer Value
Instantly addicting. Gimme that Rust x Pokemon action.,"Addictiveness, Genre Fusion"
great game to play with friends,"Social Experience, Multiplayer Fun"
"This game blends the elements of a survival game with both a production automation game like satisfactory, and a monster collecting game.
Before I knew it I had already spent over 40 hours in the game.","Genre Blending, Player Engagement"
Addicting but needs a bit of TLC for certain details like breeding and building.,"Gameplay Engagement, Mechanic Polish"
好玩，上瘾,"Fun Factor, Addictiveness"
very fun,Fun Factor
The Pokemon game we deserve and it doesn't cost 70$.,"Consumer Value, Affordability"
Pokemon.,
"In this tittle you are offered a nice ambiance, rich battle system and a big ass beautifull world to explore.

However it has some major flaws as the building system is really deficitary and pals keep bugging on the game geometry (the bigger the pal the bigger bug).

The dungeons could have some work as they are all the same labyrinthine sad cave.

Grinding is somewhat exaggerated mostly on higher levels even knowing that you can put pals on it.

Overall it's a really good game that still needs some work.

I'm excited to see what the devs will bring us.","Atmosphere and Exploration, Gameplay Mechanics, Technical Stability"
goat,Overall Excellence
This is literally the best game I have ever played. Please buy this game it is better than crack.,"Consumer Value, Addictiveness"
I realy like the game it's fun and very addicting,"Fun Factor, Addictiveness"
"Super Fun, takes the best from a lot of other games and rolls them into a nice burrito that shoots back.","Fun Factor, Genre Synthesis"
i love ensla- i mean lovingly caring for these silly little critters. super excited to see what the finished game will be like,"Gameplay Enjoyment, Future Potential"
:),General Sentiment
I need more Iron,"Resource Scarcity, Game Balance"
GREAT game highly recommend. Very relaxed gameplay,"Consumer Value, Gameplay Experience"
"Good
",Overall Satisfaction
"as my friend once said ""pokemon with guns""","Gameplay Mechanics, Genre Comparison"
"Ark, Breath of the Wild and Pokémon had a baby. 

For being early access it is very polished and can’t wait to see what they add and change in the future. Potential is extremely high","Genre Blend, Technical Stability, Future Potential"
"The surprise game of the start of the year!

More complete in early access than some AAA games sold at full price.

It's a mix of Ark + Pokémon + Valheim. 

- Some bugs but it's an early access game. 

To encourage dev, go for it. It's a great game and hope the best for the future.","Consumer Value, Gameplay Mix, Technical Stability"
good game for reals,Consumer Value
inb4 the lawsuits,Legal Risks
"Palworld - where my Pals work harder than my coffee maker on Monday mornings. Forget the 9 to 5 grind; my critters are on the job 24/7, harvesting crops, building structures, and occasionally organising rebellions for better working conditions. Who knew slave labour could be this fluffy and entertaining? 10/10 would recommend.","Gameplay Loop, Entertainment Value"
"A good time. Needs cleaning up and more character added for the world feel. But its good enough to play and enjoy, looking forward to it expanding.","Consumer Value, Technical Stability, World Design"
Don't listen to the haters. If it looks like a game you'll like then play it. You'll have a good time!,"Ignore Critics, Personal Enjoyment"
"I don't know what happened to the game. My PC froze and its force to restart. However, when I logged back in, my world is gone. 21 hours progress just disappeared like this ? Need help to retrieve my world back.","Technical Stability, Progress Preservation"
grab sheep,Gameplay Mechanics
This game is purrrrrfect 11/10 !,Consumer Value
Catch Humans Instead.,"Gameplay Mechanics, Thematic Appeal"
If you like building and catching critters to help you. Play Palworld!,"Building Mechanics, Critter Collection"
Good,Overall Quality
todays subject: slavery,"Historical Perspective, Social Issue"
Arc mashed with Pokemon!!!!!,Genre Mashup
jjmk,Unclear Perspective
"i have no friends to play with , anyone wanna play xD
","Social Interaction, Multiplayer Community"
"I already have like 500+ hrs of this game played on my PS5, got it here to play online for free and boy it brings back sm to do in the game.
","Consumer Value, Replayability"
"Very fun and makes me happy!
","Fun Factor, Emotional Impact"
"Glad the game exceeds my expectation, the game is very fun especially when you have friends to play with. Love the time sink in this game, easily getting myself drowned into it. I can play this game a whole month without getting bored. Literally a 10/10","Social Gameplay, Replayability, Overall Satisfaction"
Very very  very very  very very  very very  very very  very very  very very  very very fun,Fun Perspective
i love it,Overall Satisfaction
"So far, so good.

Ark survival crossed with Pokemon and guns, and unlike ark survival, single player can be fun. this is the game Pokemon fans have been waiting decades for.

no game breaking bugs or glitches so far, i am genuinely excited to see what improvements/additions we get as updates roll out.","Gameplay Appeal, Technical Stability, Future Potential"
"Amazing game!
Occasionally getting stuck in the terrain but to be honest, for 26$ I'm fully satisfied","Technical Stability, Consumer Value"
i got touched by little people # felt amazing would do again i love my pals. accident happend next report in 9 months,"User Satisfaction, Incident Report"
.,No Perspective
skinned an eevee for clothes,"Ethical Concerns, Game Mechanics, Content Absurdity"
Very simply: this game is what Pokemon wishes it were.,"Comparative Superiority, Genre Benchmark"
guh,General Sentiment
"""Pokemon but with guns.""
It's... no lie, but the statement falls criminally short of everything this game offers. For a game that is still incomplete there is an incredible amount of content to sink your teeth into and the degree of polish is pretty damned impressive.
Regarding the polish - yes, there ARE bugs - but the worst bug I encountered clipped me through the ground and I had to do a quick restart to fix it. That's not a complaint. Literally, quit to main menu, go back in. 15 seconds, done. Fixed. And lost nothing in the process. While not perfect, it puts most triple-A titles to shame.
As for the content.... The most obvious is collecting the pals, which is more important than one might expect as it's the best way to gain experience and having extras on hand will be important for maintaining and defending your base which is a HUGE help with resource collection.
Speaking of bases, there's that. As you level up you'll unlock more functions to your base, be able to build it out of different materials, and it's entirely customizable - a simple hovel or a towering fortress, create it how you please. Admittedly, tile placement can be a little wonky - with roof tiles wanting to connect to floor tiles more easily than the tops of walls - still, it's not irredeemably bad.
Naturally, there's combat as well, which is great. For weakening the pals in preparation to catch them you'll want to use melee with is notably weaker than ranged attacks - I'm not sure if that was intentional, but if you're higher level trying to catch weaker pals it is a priceless asset. Additionally, you have human enemies and fight them directly - seriously your base will occasionally get attacked by humans of the enemy factions and they are there to KILL you. So none of that ""blacked out"" or ""fainting"" bullshit. While the game is obviously not geared towards kids, it's inspiration doesn't seem to realize that it's main audience have grown up and are adults now. It's nice to have a game that doesn't condescend with thinly veiled double-speak.
Lastly is crafting, it's easy if not the quickest - all the resources you have on based are considered in your inventory, so you don't have to worry about pulling things out of chests to build... whatever. It's a very nice QoL choice on the part of the devs.

Now, what could be done better? A lot. There are still things that it's faster/easier to farm offsite, which isn't a bad thing in its own right, but moving while over your carry weight is annoyingly slow. I get the /why/ but but ""realism"" shouldn't take precedence over fun; now I wouldn't ask that it be completely removed, but having one of your pals on standby with a cart that'll haul things between wherever you are and your base, or the larger ride-able pals being unaffected by however much you're carrying would be a godsend. Similarly, flying pals you can ride are really slow and the stamina use with it is extremely limiting. Lastly, apart from the obvious inspirations, there are a disturbing number of pals that are mere reskins of each other - which with less than 150, is pretty awful. I'd love to see to some of the reskinned beasts be flat-out replaced; and while I wouldn't want a thousand plus, another 50-100 would be nice.

That all said, this game is still only ~60% complete and is damned good as it is; so I am VERY hopeful for the future of this game and wish it and the people creating this absolute gem nothing but the best.
8.5/10, with the expectation I'll be bumping this to a 10 upon it's completion.","Consumer Value, Technical Stability, Gameplay Mechanics"
"Very enjoyable game with beautiful graphics if you can run max graphics, even if you cant run perfect graphics it still looks good! i'm excited for whats to come especially after seeing the roadmap just for the early access.","Graphics Quality, Gameplay Enjoyment, Future Roadmap"
"Fun to play. Early access issues/bugs, but overall not too many crashes for my play through. I enjoy playing this game with my friends.","Gameplay Fun, Technical Stability, Social Multiplayer"
5,Overall Satisfaction
"Game sucks, it updated and I lost all my progress. 0/10",Technical Stability
really good,Overall Quality
"Nice
yes its nice
very fun muhahahahaah","Fun Factor, Overall Enjoyment"
Good game,Consumer Value
game is good but still has issues with multiplayer so hope they will fix it soon,"Consumer Value, Technical Stability"
Basically Japanese Ark but with pokemons. Worth to play.,"Genre Comparison, Consumer Value"
,
certified banger,Overall Quality
"This is my first survival game, and I was introduced by friends shortly after it launched.
The real value in this game comes from the infinite ways to play, and challenge yourself. Sure, you can spend a couple hundred hours on one save, and get everything maxed out on regular settings. That's what I've done, twice.
But a lot of the joy of this game is still being added. The randomizer is amazing, and the play is cozy when you want to disassociate, or intense when you want to grind. I love it.","Replayability, Playstyle Variety, Long-term Value"
A cozy farm sim with slavery!,"Genre Expectations, Ethical Content"
"The game is fun to play.
you can always change the difficulty before starting the game , so you don't need to grind / build forever in latter game

Since i've never play any Pokemon game, i can't comment on the similarity of both games.

The game is Early access, some glitch and bugs are expected.
I have lost my progress after new patch. (fortunately it's only One Level difference and i lost some easy buildings)

and the game is more unstable after latest patch (in 28 Jan 2024)

My character died after fast travel (long loading screen, i force quit-ed the game and restart, seen a Red Cross in the fast travel point)

for the dedicated server,
The max camp Pal number is still not change-able (i changed the value to 20, but it's still lock-ed in 15)

some other minor glitch is the Pal (both camp Pal or Enemy Pal) will jam in somewhere or go through the wall

","Gameplay Enjoyment, Technical Stability, Dedicated Server Features"
"very much enjoying Pokemon gun totk ARC evolved edition.
very much looking forward to mod support.
i expect many videos dunking on pokemon how BG3  dunked on starfield","Gameplay Enjoyment, Mod Support, Comparative Superiority"
GG,Overall Gameplay
ezz,Gameplay Difficulty
Pokemon Shotgun and AR,"Shotgun Mechanics, AR Implementation"
":)
",Overall Positive Sentiment
"They need to add an ability to zoom my camera out, not just FoV. I get motion sick being so close to the character.","Camera Controls, Accessibility"
"loved this game,and still do",Overall Enjoyment
"if you like ark survival evolve then this game is just for you its the same concept but with better game play and mechanics with how you obtain the pals in the game, this game can get addicting very fast just by it being that there's so much stuff to do in the game even if you are a high level its still fun.","Comparative Appeal, Gameplay Mechanics, Long-term Engagement"
Its what nintendo couldnt do,"Competitive Comparison, Innovation Achievement"
"Amazing game, well worth the price for the amount of hours of gameplay, looking forward to the full release.","Consumer Value, Gameplay Duration, Full Release Anticipation"
tr,
pokemon but good kinda like ark and stuff,"Pokémon Comparison, ARK Similarity"
"solos pokemon fk nintendo we will never buy a pokemon game again palworld did it better 

also why tf did u change how u send ur pal out this sucks pls put it back or make it a toggle thanks cus i dont wanna get railed cus my pal is right next to me instead of engaging in the fight.
new edit now with this dumb change  my pal just attacks every random pal that walks past minding its business this is annoying af","Competitor Comparison, Gameplay Mechanics, AI Behavior"
I've wanted a game like this for a while now.,Consumer Desire
"Its fun, its jank but its really fun. Especially fun with friends.","Gameplay Enjoyment, Technical Stability, Social Experience"
"yea I played the game a bit, I like it",Overall Enjoyment
this is what first real pc pokemon game couldve been,"PC Pokémon Ideal, Official Comparison"
Love the combination of creature catching and open world survival!,"Creature Catching, Open World Survival"
yes,General Approval
"crazy fun and tons of content, love how alive by base feels compared to other survival games","Gameplay Fun, Content Volume, Base Immersion"
Enjoy the same slavery as pokemon and gameplay as Ark (without the ball cancer) whilst being a sweatshop owner trying not to get raided by the police for human trafficking. GOTY.,"Gameplay Mechanics, Thematic Content, Consumer Value"
i love this game so much !! its so great and time consuming very fun to play i wouldn't change a thing to it... love the way the pals were created there size in the game is perfect. i like how you can even capture the thug and gunner ect.. very cool aspect to add in the game building is very nice and the furniture its very nice as well there isn't anything bad i could say about this game i will be playing it for a long long time its my number 1 game to go too. its the best game ever that i've found,"Gameplay Enjoyment, Creature Design, Building Mechanics"
"I'll put here my cat whom I also love. People who scroll through the reviews can pet Snowball. If he gets lots of awards i will get him some wagyu meat

　　　 　　／＞　　フ
　　　 　　| 　_　 _ l
　 　　 　／` ミ＿xノ
　　 　 /　　　 　 |
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ","Whimsical Humor, Community Engagement, Personal Affection"
This game has been a blast i don't like games usually don't like to play alone but this game is a blast even when by yourself way fun with friends for sure tho,"Solo Play Enjoyment, Multiplayer Fun, Overall Engagement"
w game,Overall Positive Sentiment
10/10 would recommend,Consumer Value
Very smooth launch and great title already! Can't wait to see more!,"Technical Stability, Initial Appeal, Anticipation"
Its a fun game,Fun Factor
"I played this game a little bit, then I stopped.",Player Engagement
"Steam says dualsense us supported, it is not","Technical Stability, Hardware Compatibility"
.,No Perspective
"its the best game i've ever had and get it if you want to have a amazing time and the game is crossed with pokimon and ark
","Consumer Value, Gameplay Hybrid"
"Okay, I confess. Really like the idea and concept of this game.
Feel so fresh yet familiar to other similar games I'm sure most of my gamer buddies knew and had played it. 

So many fun things to do, but unfortunately so little time I have.

Bought it anyway, because afraid of it will be taken down  aka delisted or got sued or even banned by ridiculous rules and regulations made by (bleep!).

I enjoy it so far. And may coming back to learn more whenever I got the time for it.
Great work, Pocketpair!
Keep those updates coming, never stop creating, let your creativity blooming.

Because similarities are just coincidences, right? Right?!
I don't really care about that. As long as the game itself give you more fun than the 'other' similar one, why not?
(^_^)d","Concept Appeal, Availability Risk, Comparative Fun"
shit game ever,Overall Quality
"This game is fun, and hilarious. If you like Pokemon, you'll like this. you can catch so called ""pals"" You can battle with them, and even give them guns and bombs. I've played 125 hours so far and I have not yet been bored playing this. The graphics are also beautiful. Also with Pals you can make them chop down trees, water plants, lay eggs, and more!","Gameplay Enjoyment, Visual Quality, Long-term Engagement"
"This game is a testament to how bad AAA games have become, when a smaller studio can not only give the people what they want, but make it unbelievably fun. Its everything the Nintendo fan base have wanted for a long time, and they seethe at the fact. Congrats on the success, please don't disappoint in your updates :D","AAA vs Indie Quality, Fanbase Satisfaction, Entertainment Value"
fadkgbcxv kSDKFo dsrkjhjfsgb,No Clear Perspective
i have had an itch for something isn't fps or competitive multiplayer for awhile now and man has this scratched that itch perfectly. The crafting and survival aspects are engaging but not grindy and annoying like some other games in the genre. Capturing new pals or bosses is fun and exciting and the combat with your favorite or new pal is a blast.  Also good to play with a friend but solo is fun as well.,"Survival Crafting, Capture Combat, Solo Co-op"
"What can I say, it's a fantastic game, you always have stuff to do, the more you play, the more fun you have.","Gameplay Loop, Replayability"
good,Overall Satisfaction
"This game is addicting. Minus the guns, this shows you very clearly what Scarlet / Violet should have been. The crafting is excellently done. Not complicated and straightforward. The monsters can each feel unique and deadly. Exploration whether to find new mons or just see whats at the top of the highest peak potentially, great.

For an early access title, this is very polished and worth every penny. While I'm not sure this will dethrone Pokemon, I can say for sure that people who play Palworld will definitely look at Pokemons lack of progress very negatively moving forward. It's such a massive glaring hole this game opens your mind to.","Gameplay Loop, Early Access Polish, Competitive Comparison"
Gun models are rather accurate for a lot of the firearms.,"Model Accuracy, Firearm Realism"
i love watching the penguin fellas waddle,"Visual Appeal, Animation Charm"
its aight,Overall Satisfaction
El juego te va a gustar salvo que seas un virgo granoso acaparador de cromosomas fanatico de Nintendo y Pokémon.,"Broad Appeal, Nintendo/Pokémon Fan Loyalty"
"welp....
after about a years break; 
i figured out what i was upto on my main file. continued on with progression. summoned (one of) the new raid boss(es) in some random base.
the fucken arsehole destroyed my entire base in like 1 second. all the crafting mats instantly got sucked into my inventory making me completely immobile.
then she fucked off after 10 minutes of spawn killing me

at least i still have my cake factory LMAOOO

10/10","Raid Boss Destruction, Base Building Risk, Humorous Silver Lining"
verry fun,Fun Perspective
ye it be das good,Overall Satisfaction
great game ngl,Overall Enjoyment
"I'm really loving this game, but for some reason now it crashes when I try to open it","Game Enjoyment, Technical Stability"
Valheim Pokemon,"Pokemon Comparison, Gameplay Mashup"
fun with friends,Social Experience
"""Pokemon but with guns""
""ARK meets Pokemon""

Okay but can we talk about how we're allowed to capture PEOPLE then put them to work alongside your Pokemons? Palworld transcends all expectations and more.

EDIT: ADD MORE FURNITURE AND BUILDINGS, I LIKE BUILDING!","Genre Fusion, Unique Mechanics, Base Building"
mememememememe woooo weewoo! <3,"Emotional Enthusiasm, Playful Excitement"
"Amazing game but has some serious issues the developers need to fix.

Randomly resets progress (was able to reload from a backup but still lost 8 hours of progress)

Pal AI and pathing are completely broken. Assigning Pals to a task is super buggy (will say no work available when throwing them directly at something)

Pals will fall under the map and get stuck in rocks and then starve and get injuries.

Pals will leave their assigned task randomly especially after sleeping. I literally had to destroy my stone pit and tree farm as well as place objects over every tree/rock spawn location in order to get them to breed because they would just run off midway and do whatever they wanted.

There is also a bug when throwing spheres on a mount that causes the spheres to get stuck in your hand and you cannot change to another tool/weapon and this can be used to infinitely dupe spheres because it will still throw them after it hits 0.

Biggest issue is the memory leaks on multiplayer servers causing hosted dedicated servers to crash constantly.

Also needs PvP and more endgame content but those are on the developer road map.

The game is really fun to play and has a ton of potential. I will change my review to positive when these issues are addressed.","Technical Stability, AI Functionality, Progression Reliability"
I remember when Pokemon was this fun,"Nostalgia, Fun Factor"
lanbt,Unclear Perspective
goty,Overall Excellence
"GOOD GAME, PAL WORK FOR FREE","Game Quality, Consumer Value"
Early access?? feels like full release its finally good to have a game that's not rubbish on launch im loving this game 1000% recommend this game,"Early Access Quality, Launch Stability, Player Enjoyment"
ggwp,"Competitive Gameplay, Player Sportsmanship"
you can get electabuzz with miniguns 10/10,"Gameplay Fun, Novel Features"
There are a few glitches and bugs plus the game crashes sometimes but in the end its still really fun and playing with my friends has been a blast as we have stupid fun moments together,"Technical Stability, Gameplay Fun, Multiplayer Experience"
"Cute monsters with guns, what more can you ask for?","Aesthetic Appeal, Core Concept"
"Well implemented game play. Minimal issues on release. This is one of those ""where did the time go"" experiences","Gameplay Implementation, Technical Stability, Player Engagement"
"I'm having enough fun with it, but the stability is poor on Steam Deck, where I'm playing it exclusively. It crashes about once an hour, plus there are various slow downs and stutterings.","Fun Factor, Technical Stability"
SO MUCH FUN,Fun Factor
Nintendo will not break us!,"Fan Loyalty, Community Resilience"
Great game. Would spend my life playing.,"Overall Enjoyment, Engagement"
Fun.,Fun Factor
"Finally the game we've all been wanting our whole lives... Hope they make an official release or something more official to bring the mass players back for a while again, huge multiplayer potential PvP and PvPvE or coop, everything.","Fulfilled Expectations, Multiplayer Potential, Community Revival"
Better than pokemon,Comparative Value
"Black screen at launch of game, and wont stop running even when forced. I am now passed the 2 hours for a free refund.","Technical Stability, Refund Policy"
Depresso my beloved,Character Affection
i love enslaving animals,"Gameplay Mechanics, Player Enjoyment"
yes,Overall Approval
i got deleted by the system for the 4th time. i dont even use any mod and there is so much hacker on the official  server.,"Technical Stability, Server Security"
I can't believe how fun this is. Working out the bugs but this is so great!,"Fun Factor, Technical Stability"
Hilarious and fun. Never-ending things to do.,"Entertainment Value, Replayability"
a good game to grind and play with friends. it is also a game to exprlore,"Gameplay Loop, Multiplayer Experience, Exploration"
adictive,Engagement Perspective
"Saw a dragon leaf looking thing, thought it be a good idea to attack, hits me, im at 1hp, my sheep and cat go in to attack it, THEY INSTANTLY DIE, then i died.

10/10","Combat Balance, Companion Mechanics"
"progession is very good  end game seems fun nice game to play with friends
","Progression Quality, Endgame Fun, Multiplayer Appeal"
"Its alright but massively overhyped, there are a lot of good ideas on paper but ultimately, this game is rather shallow, you collect Pok- I mean Pals, you build your base and eventually get everything automated and defeat those tower bosses... then what?","Hype vs Reality, Gameplay Depth, Endgame Content"
Everything I wish Pokemon was now that I am an adult.,"Adult Perspective, Pokemon Maturity Comparison"
