review_text,Review_Angles
"With about 24 hours, currently, the game is overall good. If you played 1 and 2, its a natural progression with some improvements from earlier games (including more players).","Consumer Value, Gameplay Progression, Series Comparison"
"An update broke the AI for a lot of factions, making them passive. This include TK and lizardmen, but not only (ogre spamming camp near one settlement and doing nothing too).

This allow other faction near it to expand more than intended, fully breaking the early, mid and end game balance depending on your starting position.

I suggest not buying solely because of this, and might change my review if they fix it in a timely manner (it's already been months, so it's looking quite bad, they clearly don't care and didn't bother testing because it's extremely obvious).","Technical Stability, Gameplay Balance, Developer Responsiveness"
Best game I have ever played in Total War series. It has so much potential to carry on for years with 'good' DLC. Hopefully they have been working on a worthwhile update for Shadows of Change. This will save the franchise.,"Franchise Comparison, Long-Term Value, Future Content Potential"
CA seems to have turned this around,Narrative
"RoC could be better, but let's be real the main attraction for WH3 is the ""Immortal Empires"" combined map campaign.

WH3 suffers from what WH2 initially lacked, content prior to the release of Mortal Empires which in the grand scheme is a problem that solves itself.

Do I recommend this game? Absolutely! However if you are holding off until Immortal Empires drops that is a perfectly reasonable response.","Content Completeness, Consumer Recommendation, Long-term Value"
I wiuold milk this game!!,Consumer Value
Solid game,Overall Quality
My brain hurt. 10/10,"Cognitive Engagement, Overall Enjoyment"
"I enjoy this game.

Review bombing it because of DLC cost - have you guys seen what DLC for other games cost? (e.g. Train Simulator Classic ... now that's kind of an extreme case, I'd never buy that one with its DLC scheme. There are many other games that I'd consider way too expensive for what they offer. Not this one here.)","Consumer Value, Price Comparison, DLC Cost Assessment"
"It runs like garbage. 


But it is super fun. 

The devs keep giving free content and changing previous paid content to be cheaper or easier to get, some having become free. 
You can also preview the paid for content in game to an extent.
I have almost 500 hour and over 2000 hours of the previous 2 titles, warhammer 2 and are are more like expansions rather than separate games with the biggest changes being graphical fidelity. 
The game is massive even with just the base game and no dlc. 
The game and dlc goes on special regularly and on good discounts if you want the extra content but do not want to pay full price for it.
I am of at the time of writing this have spent almost 35 hours in one campaign and in base there are a potential of 7 of them, not including the tutorial which is very impressive, or the big campaign.
There is also a big variety of mods available that makes the average to ugly female characters into the more lore accurate incredibly hot and attractive with mods to change units or characters into wearing skimpy clothing if the sjw aspects (it is a British game after all) are too much for you. Which can be found on the
steam workshop (Least amount of none sjw mods)
Nexus (high amount of none sjw mods)
Loverslab (No SJW mods)
The game is fantastic without mods to begin with, they just make the viewing experience if you like to zoom in and look at your units like i do, a much more pleasant and rewarding experience. Side note i placed almost 3000 hours before installing sexy mods so it isn't as important for the enjoyment of the game but the mediocre to ugly female models do get annoying after all that time.

Overall it is a fantastic game with hundreds of hours of content, mods to fix some bad or none lore accurate aspects, and specials to make up for the high amount of dlc that the game has.
I highly recommend it.","Technical Performance, Gameplay Enjoyment, Consumer Value & Content"
Love it,Consumer Value
"Strategy gaming at it's finest! Many advancements and improvements over Warhammer 2, and I feel this is the zenith of Warhammer as it should be. Now, I'm not gonna go into the pricing of the DLCs, I'm just reviewing the vanilla game here.  

Regarding the siege battles; they are a bit too arcady for me and I much prefer Warhammer 2's sieges. I can't fault them for trying something new and mixing it up, but hopefully in a future patch they'll add the option of a Warhammer 2 siege battle cause right now it's too complicated and I auto-battle sieges. p","Gameplay Quality, Feature Comparison, Game Design Philosophy"
Lots of greed,Consumer Value
"Total War Warhammer 2 was already a very good and complete game, they managed to make it even better.","Consumer Value, Gameplay Quality"
It's ok,Overall Satisfaction
"Total War: Warhammer III is a mighty game of grand battles and dire sorcery. Armies clash like thunder, and the dark realms of Chaos test even the boldest warlord. Though some trials may vex the player, the game’s depth and grim splendour maketh it a worthy conquest for any seeker of epic war.","Gameplay Experience, Challenge and Difficulty, Overall Value"
Amazing game with a lot of potential,"Consumer Value, Gameplay Potential"
Epic,Overall Impression
"I've been waiting for this game since the first Warhammer Total War was launched, Dreaming of all of the other Armies I can play. The Chaos Demon armies are amazing to play. This is going to be the best Total War in the franchise. The change to sieges are a welcome change, giving reason to tactics and not blobbing to victory.","Consumer Value, Gameplay Mechanics, Franchise Evolution"
"Simply, the greatest strategy game and the greatest Warhammer game!","Genre Quality, Franchise Quality"
"This game is the one of the most Immersive games ive ever played along with Elder scrolls games, ive never felt emotionally invested in the outcomes of my battles as i do with this. Alot of skill and talent and math has been implementing with balancing and calculations from the developers and each faction has a rich quirky history and interesting lore which at first i was hesitant to try given im not that into fantasy themes however Im very impressed with this. Truly a classic of the gaming world","Immersive Experience, Gameplay Depth, Narrative/Lore Quality"
"Every person who gave this game a positive review at launch deserves the bugs, broken features and overpriced DLC.","Consumer Value, Technical Stability, Monetization"
blood for the blood god,"Narrative Alignment, Fandom Engagement"
"From overgrown gilla monsters, uppity elves and zealous humans to degenerate elves, capitalistic dwarves and DA BOYZ, there is always a fun style and new strategy to try out in this game, if ya like strategy games similar civ but with a warhammer twist  and streamlined for war, this is definitely a good choice. Check out some mods too.","Gameplay Variety, Genre Comparison, Modding Support"
The Immortal Empires Campaign is one of the best strategy game experiences ever.,"Gameplay Experience, Comparative Quality, Genre Excellence"
Please optimize your updates. I could have just deleted and re-download in a fraction of the amount of time this took to patch.,"Efficiency Expectation, Update Process Critique, Time Value"
tja,Insufficient Detail
slaps,"Aesthetic Quality, Sonic Experience, Cultural Resonance"
its fun if you like army building and different army building or ways to play i love this game,"Gameplay Variety, Player Engagement, Content Replayability"
shits bitchin,"Consumer Value, Emotional Impact"
"They're buffing Dwarfs next patch, here's my bribe.","Game Balance, Developer Communication, Player Incentive"
"it's a 400€ game 

fun though","Price Perspective, Gameplay Enjoyment"
Immortal Empires saved this game from disaster,"Product Quality, Consumer Value, Game Development"
"Nagash when?
",Narrative
"(Update broke the game, cool) Got fix.","Technical Stability, Consumer Value"
Just Total Warhammer 2 with very few new factions for full price. May as well just wait for 4 at this point.,"Consumer Value, Content Quantity, Series Progression"
"This game is a lot of fun, it is my first total war game ever and I have about 1200 hours on all TWWH games combined. So I have a decent amount of knowledge with the game both pros and cons.
Pros: 
1. Dwarfs, they're badass
2. Skaven (hehe funny rats)
3. Mod support is great
4. A lot of different races that all play differently and each sub-faction within those races that play different than others with campaign buffs, start positions, etc.
5. Battles are fun and engaging
6. Ever since WH3 dropped, CA has been receiving backlash and since the disaster that was Shadows of Change, CA seemed to have turned a new leaf with content. DLC can get a lil expensive but CA has been dropping a lot of free update content and they're going to continue to do so.
7. The AI is alright (at times)
Cons:
1. The AI is either alright or completely dumb. 
2. Difficulty is wonky imo. I'm the type of guy that prefers dumber AI the easier the difficulty is and vice versa. If you set it to a higher difficulty, the AI just gets stat buffs that kinda prevent certain styles of play (can't really go a melee army because of the damage buffs the AI gets)
3. Co-Op campaigning is easy to get desynced and disconnected. Idk if this has to do with my friend's connection or the game itself. One day it was working, the next day it wasn't. 
4. The game will randomly crash sometimes. Annoying to deal with but since the game autosaves after every turn it's whatever. 
5. Each TWWH game is a add-on to the previous game, so if you bought WH3 but didn't buy WH1 or WH2, you're locked out of 80% of the races until you buy those games, luckily you can get cheap copies off of Gee Two A.
6. Siege battles suck. The AI and my units can't path around properly during siege battles, and they're more of a grind than fun and engaging. 
7. Bretonnians (The French 🤢)
I recommend getting if you're into RTS games. Look for deals on Gee Two A since they're cheaper than buying it straight off of Steam.","Gameplay Variety, Content Value, Developer Support"
Role play as mulan.,"Character Immersion, Narrative Engagement"
"The Devs greed sickens me.

Hope you like paying 10-20 times what you spent on the game to unlock the rest of the content they released as piecemeal as possible to drain every last penny they could from you.

 All whilst ignoring player feedback and requests on what characters they'd like to see added next.

Avoid this game, it's whale bait.","Consumer Value, Developer Responsiveness, Monetization Ethics"
"The prologue is epic.

This is coming from a hardcore historical total war fan. I got bored of map painting and this something else .
The quests and gameplay feel awesome can't wait for  more content. 

The performance is bad, the audio and unit design carry the game.

A solid 8/10 for me.
","Gameplay Experience, Technical Performance, Content Value"
fuck yes,"Emotional Satisfaction, Overall Experience"
very fun yes yes,Entertainment Value
"I am a large Total War fan, as well as a Warhammer fan. I have been with the Total War, Warhammer since the first one. I think that 3 is better then 1 overall, but is not yet better then the end product of 2, including all DLC. That being said, that makes Total War, Warhammer very good so far. I also find that the patches and patch notes are very comprehensive and regular. Their is a upcoming free patch coming that should expand the replay value. I look forward is going to come, as well I enjoy what is currently here.","Consumer Value, Gameplay Longevity, Developer Support"
"CA just said if we don't buy the new overpriced DLC + [strike]Troy 2[/strike] TW Pharaoh, they're gonna end support for Warhammer 3.

Honestly screw CA and screw SEGA. They've had some real lows in the past but this is a whole new layer of filth. They don't respect you or your wallet. I'm not paying their extortionate prices and neither should you. It's not our problem if they make stupid decisions, so why should we pay for it? 

Let Warhammer 3 crash and burn if that's what they really want. Don't worry CA, I'm sure [strike]Lawbreakers 2.0[/strike] HYENAS and Troy 2 are gonna do great!","Consumer Value, Corporate Ethics, Financial Pressure"
"Creative Assembly has been known for making good strategy games, however they have been steadily decreasing in quality and increasing in bugs. Warhammer Fantasy is a much loved franchise, and they for the most part do a good job of realizing the world and sturggles between factions.

However the game still has many bugs that go unaddressed while they continue to price gouge the dlc for ridiculous prices. Their is no good reason for these prices besides believing that you, the end user, are a complete mook and easily parted from your money.

If they focused more on balancing the game and fixing bugs rather than holding those necessary things ransom by insisting that you must purchase the same thing at a ridiculous price then its best to no longer support them. I do not recommend purchasing this game at full price or at all, and I also do not recommend buying any dlc for this game until they decide to lower the prices to what they were in previous games, if not lower than that to make up for their continual blunders.","Consumer Value, Technical Stability, Developer Practices"
Good soup,Consumer Value
Funny mustache man,"Character Design, Narrative Portrayal"
best game around...,Overall Quality
"After 655 hours in the game, the updates are worse and worse. 
Each updates makes the game more unstable and more ressource consuming. 

The game needs proper fixes, you can't push small bug fixes for this game or ignore the bugs in the game.","Technical Stability, Resource Optimization, Update Quality"
"It pains me to make this, but at its current state I just could not recommend this game unless you are an insanely big Warhammer fan.

I feel as though the people who created the campaign were so focused on ""Doesn't it sound cool if X"" without thinking about how it would actually interact in the games format.  It completely goes against everything that made Total War fun to begin with.  Expanding, dominating, and growing your forces larger to take on all sorts of enemies as you conquer the map.

This isn't what happens at all in this game.  It actively punishes you for expanding by creating random chaos portals that spread corruption and armies across your entire empire while your (Likely) best army has screwed off somewhere else for the McGuffin.  3/4ths of my game is just sitting in a city and pressing the skip notification button until one of the portals opens back up to send a unit in.  If one of the other people in there just happen to get to the soul before you? Too bad, guess you gotta wait 20 turns again to try again.

And don't even get me started on these new Dominion battles.  I'm not sure who came up with the idea, but when I build an army of best units I have I want to have an epic battle with all that the enemy has to offer, not a Nascar endurance race of endless spawning enemies hitting you from behind the entire time you are advancing and from every single side endlessly basically making you ""Base Race"" till the end.  This may be a personal opinion, but these battles aren't fun...they are frustrating.

I have loved every Warhammer game, and many of the total war games.  They have their flaws, but also their charms.  Many of them came out with bugs and glitches (I'm looking at you Rome), but most have gotten better.  I sincerely hope that CA comes back around to fix this hot garbage of a campaign, or at least release Immortal Empires sooner rather than later.  I will gladly get rid of my negative review when it does.  Until then, I'm just going to go back to Warhammer 2 to get my fantasy fix.

Edit: As they have now updated the game with Immortal Empires I am flipping this review.  However OG campaign is still awful.","Gameplay Design, Consumer Value, Franchise Alignment"
"Fun playing it, lots of armies. Sometimes units do whatever they want even after giving them orders.
And if you want all the content prepare your wallet. Over all with my short playtime. I would recomment.","Gameplay Experience, Monetization Model, Overall Recommendation"
Game can be fun; but with the company acting how they are currently I can't sincerely recommend this game,"Consumer Value, Company Ethics"
9 AD Teutoburger Forest Incident ᛏᛖᚢᛏᛟᛒᚢᚱᚷᛖᚱ×ᚠᛟᚱᛖᛊᛏ Visigothic Sack of Rome ᚢᛁᛊᛁᚷᛟᚦᛁᚲ×ᛊᚨᚲᚲ×ᛟᚠ×ᚱᛟᛗᛖ Alaric ᚨᛚᚨᚱᛁᚲ The Varian Disaster ᛏᚺᛖ×ᚢᚨᚱᛁᚨᚾ×ᛞᛁᛊᚨᛊᛏᛖᚱ Great Fire of Rome ᚷᚱᛖᚨᛏ×ᚠᛁᚱᛖ×ᛟᚠ×ᚱᛟᛗᛖ Frisian Hanging of Roman Tax Collectors ᚠᚱᛁᛊᛁᚨᚾ×ᚺᚨᚾᚷᛁᚾᚷ×ᛟᚠ×ᚱᛟᛗᚨᚾ×ᛏᚨᚲᛊ×ᚲᛟᛚᛚᛖᚲᛏᛟᚱᛊ Elagabalus Transgender Prostitute Emperor ᛖᛚᚨᚷᚨᛒᚨᛚᚢᛊ×ᛏᚱᚨᚾᛊᚷᛖᚾᛞᛖᚱ×ᛈᚱᛟᛊᛏᛁᛏᚢᛏᛖ×ᛖᛗᛈᛖᚱᛟᚱ Attila the Hun ᚨᛏᛏᛁᛚᚨ×ᚦᛖ×ᚺᚢᚾ Odoacer King of Italy ᛟᛞᛟᚨᚲᛖᚱ×ᚲᛁᛜ×ᛟᚠ×ᛁᛏᚨᛚᛁ Mount Vesuvius 79 AD ᛖᚱᚢᛈᛏᛁᛟᚾ×ᛟᚠ×ᛗᛟᚢᚾᛏ×ᚢᛖᛊᚢᚢᛁᚢᛊ Die Volkerwanderung ᚢᛟᛚᚲᛖᚱᚹᚨᚾᛞᛖᚱᚢᛜ 53 BC Battle of Carrhae ᛒᚨᛏᛏᛚᛖ×ᛟᚠ×ᚲᚨᚱᚱᚺᛇ The Scourge of God ᛊᚲᛟᚢᚱᚷᛖ×ᛟᚠ×ᚷᛟᛞ Crisis of the Third Century ᚲᚱᛁᛊᛁᛊ×ᛟᚠ×ᚦᛖ×ᛏᚺᛁᚱᛞ×ᚲᛖᚾᛏᚢᚱᛁ Post-Roman Britain ᛈᛟᛊᛏ-ᚱᛟᛗᚨᚾ×ᛒᚱᛁᛏᚨᛁᚾ Battle of Adrianople Decisive Gothic Victory ᛒᚨᛏᛏᛚᛖ×ᛟᚠ×ᚨᛞᚱᛁᚨᚾᛟᛈᛚᛖ Edict on Maximum Prices ᛖᛞᛁᚲᛏ×ᛟᚾ×ᛗᚨᚲᛊᛁᛗᚢᛗ×ᛈᚱᛁᚲᛖᛊ Battle of Thessalonica 380 AD ᛒᚨᛏᛏᛚᛖ ᛟᚠ ᛏᚺᛖᛊᛊᚨᛚᛟᚾᛁᚲᚨ The Visigothic Kingdom ᚢᛁᛊᛁᚷᛟᚦᛁᚲ×ᚲᛁᛜᛞᛟᛗ Theodoric the Great ᛏᚺᛖᛟᛞᛟᚱᛁᚲ×ᚦᛖ×ᚷᚱᛖᚨᛏ The Catiline Conspiracy ᚲᚨᛏᛁᛚᛁᚾᛖ×ᚲᛟᚾᛊᛈᛁᚱᚨᚲᛁ Battle of Arles 471 ᛒᚨᛏᛏᛚᛖ×ᛟᚠ×ᚨᚱᛚᛖᛊ The Batavian Revolt ᚱᛖᚢᛟᛚᛏ×ᛟᚠ×ᚦᛖ×ᛒᚨ,"Historical Accuracy, Narrative Focus, Cultural Representation"
"its a cool game but im tired asf from playing it so i'll keep this simple. The game itself is great and mechanics wise it stands above all the other ones in the series tho i have noticed a huge quality drop in performance after about an hour of playing. Could be because im playing on my laptop but its weird. Like i was able to play the game on medium graphics smoothly but then i come back from work and the quality drops to being in a cod lobby with 1300 ping. So needless to say, id recommend getting the game if your confident in your rig and if your not well, play at your own risk i guess.
edit: ok so the frame drop and lag is fixed and game is now working perfectly since the last patch
","Technical Stability, Gameplay Mechanics, Hardware Requirements"
I like turtles and i like this game,"Personal Enjoyment, Content Appeal"
"The game is ok. Needs a lot of work still. Much better with Grimhammer mod.

The pricing policy and the CA communication style makes me not recommend this game. CA earns very high profits and the DLC content gets worse and worse. Nevertheless they drastically increase the price and threaten customers to stop developement. 

Nobody is winning. I feel sorry for the devs working on the game and i feel contempt for the business sharks who want to milk this cow and despise the customer base.","Consumer Value, Corporate Ethics, Game Quality"
"While this game struggles with some bad updates and corporate greed, it (to me) is still a great experience. Seeing troops from the warhammer universe stomp across the battlefield with a strategy you cooked up will always be a wonderful experience.","Consumer Value, Corporate Ethics, Gameplay Experience"
Autism,"Medical/Clinical Perspective, Social/Identity Perspective, Educational/Support Perspective"
"Great game in my opinion, pretty good DLC, do really like how if you own previous games they will transfer over to next games.","Consumer Value, Content Quality, Franchise Integration"
cant stop playing,Engagement Level
"This game has dramatically been improved with the addition of the workshop, when it released I played 1 campaign(around 22ish hours) and dropped it because of the Chaos rift mechanics, but there are mods now that allow you to disable that. It will only continue to get better aswell with Immortal Empires coming August 23rd along with more and more DLC as time goes on. I would go as far as saying this(The Warhammer Total War series in all) is one of the best game series i've ever played, nothing can compare to the grandness of it's scope, and this is coming from someone who has been playing games since the late 90s, give it a shot if you love strategy games","Modding & Customization, Long-Term Game Support, Gameplay Mechanics"
Total war perfected.,"Gameplay Depth, Genre Benchmark, Design Excellence"
"CA is getting better about listening, thankfully.","Company Responsiveness, Consumer Satisfaction"
"If you like Warhammer Fantasy - there is no better game! It's epic, and fun!

Developers have turned a corner and are clearly doing their best to make the best game they can.","Consumer Value, Developer Commitment"
HEY GUYS WE GOT A HELLDIVER CAPE IN THE REVIEWS!,"Community Engagement, In-Game Rewards"
This game is like heroin,"Addictive Gameplay, Consumer Engagement"
siiuuuuu,Emotional Expression
"Hardly anything else to add other than what has been said about this game. Still needs a bit of work, specially on inmortal empires, but that's normal.","Game State Assessment, Development Expectations"
crash and black spots simulator. absolutely unplayable in the most literal sense of the fashion. the thing is it wasnt always like that. i have 1000 plus hours in the game and it used to run smashingly ever since its launch. and then it just didnt. think it was some update a while ago. meaning CA actively dont want you to play this. solved it by downgrading my graphics driver and managed to play it but i recently bought AOS realms of ruin that demands the newest graphics driver and well i had a choice to make. customer service was less than helpful as well and ended up suggesting i post on a developer forum but as far as i understand this its a pretty big issue for many people. dont buy this shit.,"Technical Stability, Consumer Value, Developer Support"
"Most Time I have spent in any game on steam. I love the giant battles and never experienced anything quite like this game. 
-Total War Community","Consumer Value, Gameplay Experience, Community Engagement"
The current state of this game is such a disgrace.,Overall Quality
"This game is amazing.
If you like deep dark lore, Warhammer, Grim Dark, and Strategy- You will love this game.
For all of the fake fans review-bombing this game due to social/game politics- Shame on You for being everything wrong with gaming these days. If this game didn't exist, you would be begging for it to. That's all.","Narrative Quality, Community Reception, Genre Alignment"
I have been waiting for this game since I heard about it and so far it is all that it claimed to be.  My only issue is that I cannot play High Elves in the new format.  Please fix this.,"Content Completeness, Feature Accessibility, Player Expectation"
"Really good game which I'm sure will only get better as time goes on and certain thing get patched and polished. As a standalone game right now it offers a lot of fun and replayability, but the real thing comes later on once they fuze it with the previous game in the form of mortal empires! Then you will be able to fully experience this amazing game.","Consumer Value, Future Potential, Content Integration"
It got better,"Product Evolution, User Satisfaction"
Fix the AI!,"Technical Stability, Consumer Value, Product Reliability"
"Was iffy about the fantasy Total War, but I'm happy I tried it out. One of the best total war games. Great lore.","Genre Adaptation, Gameplay Quality, Lore Integration"
"Hold the Wall! You shall not pass! 

Very good addition to the franchise. Sure the siege battles need some tweaking and some more units would benefit the game. ... The Mortal Empires Campaign will bring it all. 
What else could you wish for, if there is 8-Player-Coop possible?","Gameplay Experience, Content & Features, Multiplayer Value"
"The dynamics of the game are way different this time around. The first few times I played through it, i just didn't understand the goal and kept losing even though i had many armies. After a while I understood that traversing the rifts is necessary to win and finally I understood. After that, the game became much more fun to play! I will say the basics of playing are exactly the same, even down to almost the same buildings/trees. I would have loved to see something different.","Gameplay Mechanics, Learning Curve, Content Novelty"
"I have played total war for years. It is great to finally get a campaign that is more interesting than paint the map. To get a ""victory"" in the campaign, you must send your faction leader's army to chaos realms four times. This means rapid expansion is penalized which creates a fun dynamic. I want to expand enough to support a strong 2 army team, but not so much that I can't defend it with those two armies. This is a fun challenge, and it feels right lore-wise. Cathay wouldn't paint the map usually. The demonic factions always have to worry about being stabbed in the back. That's why a chaos invasion from the north is so rare - they cant trust each other. This campaign encourages more strategic thinking, it encourages the race (unlike WH2), and it fits the lore. 
","Gameplay Innovation, Lore Consistency, Strategic Depth"
"Rest in piss CA.

""The right to discuss is a privilege—it is not an entitlement you earn by playing the game""","Community Standards, Freedom of Expression"
i like,Consumer Value
The perfect culmination of the Total War: Warhammer series. I expect to spend hundreds of hours in this game.,"Consumer Value, Gameplay Longevity"
can commit war crimes against the french would recomend 10/10,"Ethical Perspective, Humor/Satire, Consumer Satisfaction"
"I just don't know what CA is doing with this game. Terrible decisions after terrible decisions, and something is always broken.","Developer Direction, Technical Stability"
"One of my favourite games of all time. The only game I ever bothered to complete all Steam Achievements. 

With the recent change to allow people to play Immortal Empires with only WH3 purchased, this is now a great game without the significant barrier to entry. 

Multiple AMAZING DLCs across the franchise, with more to come in 2023!","Consumer Value, Gameplay Engagement, Content Longevity"
"after a couple of years, the game certainly far more better compared to when it was released. smoother gameplay and some new DLCs have fun mechanics.","Technical Stability, Content Evolution, Consumer Value"
"Its a fun game, but lacks in features compare to other titles of CA, I can live with that...however, the DLC prices are a total rip off!!!","Consumer Value, Feature Comparison, DLC Pricing"
"SoC price tag and insane amount of low content is ridiculous.
They charge half the price of the main game for 9 new units, some of which are just recolors of already existing ones and 3 Lords, one of which is also just the 3rd iteration of a Lord that already exists twice.

CA, stop being such greedy b****** and step up your game.
Also the amount of bug fixes, or rather lack of, is a joke. 4 months no updates. Bugs still being present from 8 years ago. 
But when they release one of their 4-6 months patches, then be rest assured, they introduce twice the amount of new bugs that they fixed.

Update: They added twice the amount of Content to their latest DLC and started doing fairly regular patches over the past months, therefore i will give them a Thumbs up again","Consumer Value, Technical Stability, Developer Responsiveness"
Easily a 1000+ hours play time game.,"Consumer Value, Gameplay Longevity"
"Don't buy for such a greedy business model, this game is chopped into small pieces and then resold to you.","Business Model Ethics, Consumer Value"
"Base campaign is so so, but Immortal Empires are great, epic huge map with ever faction to date, and it will only grow :)","Content Value, Gameplay Scale, Future Potential"
Its pretty good.,Overall Quality
taking a stance,"Rhetorical Strategy, Argumentation Style, Critical Positioning"
This game is awesome. Even better than its predecessor. Multiplayer is what I have been waiting for and it delivers!,"Overall Quality, Comparative Value, Multiplayer Experience"
