review_text,Review_Angles
i got touched by little people # felt amazing would do again i love my pals. accident happend next report in 9 months,"Emotional Experience, Social Connection, Future Anticipation"
.,General Impression
skinned an eevee for clothes,"Cosmetic Customization, Tone and Thematic Content"
Very simply: this game is what Pokemon wishes it were.,"Franchise Comparison, Overall Quality Benchmark"
guh,Emotional Reaction
"""Pokemon but with guns.""
It's... no lie, but the statement falls criminally short of everything this game offers. For a game that is still incomplete there is an incredible amount of content to sink your teeth into and the degree of polish is pretty damned impressive.
Regarding the polish - yes, there ARE bugs - but the worst bug I encountered clipped me through the ground and I had to do a quick restart to fix it. That's not a complaint. Literally, quit to main menu, go back in. 15 seconds, done. Fixed. And lost nothing in the process. While not perfect, it puts most triple-A titles to shame.
As for the content.... The most obvious is collecting the pals, which is more important than one might expect as it's the best way to gain experience and having extras on hand will be important for maintaining and defending your base which is a HUGE help with resource collection.
Speaking of bases, there's that. As you level up you'll unlock more functions to your base, be able to build it out of different materials, and it's entirely customizable - a simple hovel or a towering fortress, create it how you please. Admittedly, tile placement can be a little wonky - with roof tiles wanting to connect to floor tiles more easily than the tops of walls - still, it's not irredeemably bad.
Naturally, there's combat as well, which is great. For weakening the pals in preparation to catch them you'll want to use melee with is notably weaker than ranged attacks - I'm not sure if that was intentional, but if you're higher level trying to catch weaker pals it is a priceless asset. Additionally, you have human enemies and fight them directly - seriously your base will occasionally get attacked by humans of the enemy factions and they are there to KILL you. So none of that ""blacked out"" or ""fainting"" bullshit. While the game is obviously not geared towards kids, it's inspiration doesn't seem to realize that it's main audience have grown up and are adults now. It's nice to have a game that doesn't condescend with thinly veiled double-speak.
Lastly is crafting, it's easy if not the quickest - all the resources you have on based are considered in your inventory, so you don't have to worry about pulling things out of chests to build... whatever. It's a very nice QoL choice on the part of the devs.

Now, what could be done better? A lot. There are still things that it's faster/easier to farm offsite, which isn't a bad thing in its own right, but moving while over your carry weight is annoyingly slow. I get the /why/ but but ""realism"" shouldn't take precedence over fun; now I wouldn't ask that it be completely removed, but having one of your pals on standby with a cart that'll haul things between wherever you are and your base, or the larger ride-able pals being unaffected by however much you're carrying would be a godsend. Similarly, flying pals you can ride are really slow and the stamina use with it is extremely limiting. Lastly, apart from the obvious inspirations, there are a disturbing number of pals that are mere reskins of each other - which with less than 150, is pretty awful. I'd love to see to some of the reskinned beasts be flat-out replaced; and while I wouldn't want a thousand plus, another 50-100 would be nice.

That all said, this game is still only ~60% complete and is damned good as it is; so I am VERY hopeful for the future of this game and wish it and the people creating this absolute gem nothing but the best.
8.5/10, with the expectation I'll be bumping this to a 10 upon it's completion.","Content Depth & Value, Technical Polish & Stability, Collection-Based Gameplay Loop"
"Very enjoyable game with beautiful graphics if you can run max graphics, even if you cant run perfect graphics it still looks good! i'm excited for whats to come especially after seeing the roadmap just for the early access.","Aesthetics & Visual Quality, Performance & Optimization, Future Potential & Roadmap"
"Fun to play. Early access issues/bugs, but overall not too many crashes for my play through. I enjoy playing this game with my friends.","Gameplay Enjoyment, Technical Stability, Social/Multiplayer Experience"
5,"Overall Satisfaction, Consumer Value Perspective"
"Game sucks, it updated and I lost all my progress. 0/10","Technical Stability & Data Loss, User Experience Frustration"
really good,Overall Satisfaction Perspective
"Nice
yes its nice
very fun muhahahahaah","User Enjoyment, Emotional Response"
Good game,Overall Enjoyment
game is good but still has issues with multiplayer so hope they will fix it soon,"Overall Gameplay Experience, Multiplayer/Online Functionality"
Basically Japanese Ark but with pokemons. Worth to play.,"Gameplay Comparison, Genre & Theme, Overall Recommendation"
,Insufficient Information
certified banger,"Overall Enjoyment, Entertainment Value"
"This is my first survival game, and I was introduced by friends shortly after it launched.
The real value in this game comes from the infinite ways to play, and challenge yourself. Sure, you can spend a couple hundred hours on one save, and get everything maxed out on regular settings. That's what I've done, twice.
But a lot of the joy of this game is still being added. The randomizer is amazing, and the play is cozy when you want to disassociate, or intense when you want to grind. I love it.","Replayability & Playstyle Freedom, Game Feel & Atmosphere, Longevity & Ongoing Updates"
A cozy farm sim with slavery!,"Ethical Concerns Perspective, Genre & Tone Contrast"
"The game is fun to play.
you can always change the difficulty before starting the game , so you don't need to grind / build forever in latter game

Since i've never play any Pokemon game, i can't comment on the similarity of both games.

The game is Early access, some glitch and bugs are expected.
I have lost my progress after new patch. (fortunately it's only One Level difference and i lost some easy buildings)

and the game is more unstable after latest patch (in 28 Jan 2024)

My character died after fast travel (long loading screen, i force quit-ed the game and restart, seen a Red Cross in the fast travel point)

for the dedicated server,
The max camp Pal number is still not change-able (i changed the value to 20, but it's still lock-ed in 15)

some other minor glitch is the Pal (both camp Pal or Enemy Pal) will jam in somewhere or go through the wall

","Gameplay & Accessibility, Technical Stability & Bugs, Early Access Development State"
"very much enjoying Pokemon gun totk ARC evolved edition.
very much looking forward to mod support.
i expect many videos dunking on pokemon how BG3  dunked on starfield","Overall Enjoyment/Fun Factor, Modding & Community Support, Comparative Industry/Franchise Context"
GG,"Overall Enjoyment, Consumer Satisfaction"
ezz,Difficulty / Challenge Perspective
Pokemon Shotgun and AR,"Gameplay Mechanics, Use of AR Technology"
":)
",Overall Satisfaction
"They need to add an ability to zoom my camera out, not just FoV. I get motion sick being so close to the character.","User Experience & Comfort, Accessibility Perspective"
"loved this game,and still do","Overall Enjoyment, Emotional Attachment, Long-Term Satisfaction"
"if you like ark survival evolve then this game is just for you its the same concept but with better game play and mechanics with how you obtain the pals in the game, this game can get addicting very fast just by it being that there's so much stuff to do in the game even if you are a high level its still fun.","Genre Comparison, Gameplay & Mechanics, Replayability & Content Depth"
Its what nintendo couldnt do,"Competitive Comparison, Brand Expectations"
"Amazing game, well worth the price for the amount of hours of gameplay, looking forward to the full release.","Consumer Value (Price vs Playtime), Game Longevity / Content Volume, Anticipation for Full Release"
tr,Insufficient Information Perspective
pokemon but good kinda like ark and stuff,"Gameplay Comparison, Overall Quality Perception"
"solos pokemon fk nintendo we will never buy a pokemon game again palworld did it better 

also why tf did u change how u send ur pal out this sucks pls put it back or make it a toggle thanks cus i dont wanna get railed cus my pal is right next to me instead of engaging in the fight.
new edit now with this dumb change  my pal just attacks every random pal that walks past minding its business this is annoying af","Gameplay Mechanics & Controls, AI Companion Behavior, Comparative Franchise Evaluation"
I've wanted a game like this for a while now.,"Consumer Desire & Anticipation, Genre/Niche Fulfillment"
"Its fun, its jank but its really fun. Especially fun with friends.","Gameplay Enjoyment, Social/Co-op Experience, Technical Polish/Jank"
"yea I played the game a bit, I like it","Overall Enjoyment, Gameplay Experience"
this is what first real pc pokemon game couldve been,"Franchise Faithfulness, Platform Adaptation (PC Experience)"
Love the combination of creature catching and open world survival!,"Gameplay Mechanics, Core Experience Enjoyment"
yes,Overall Satisfaction Perspective
"crazy fun and tons of content, love how alive by base feels compared to other survival games","Gameplay Enjoyment, Content Quantity, Immersion & World Liveliness"
Enjoy the same slavery as pokemon and gameplay as Ark (without the ball cancer) whilst being a sweatshop owner trying not to get raided by the police for human trafficking. GOTY.,"Gameplay Comparison, Thematic Content & Tone"
i love this game so much !! its so great and time consuming very fun to play i wouldn't change a thing to it... love the way the pals were created there size in the game is perfect. i like how you can even capture the thug and gunner ect.. very cool aspect to add in the game building is very nice and the furniture its very nice as well there isn't anything bad i could say about this game i will be playing it for a long long time its my number 1 game to go too. its the best game ever that i've found,"Gameplay Fun & Engagement, Character/Creature Design, Building & Customization"
"I'll put here my cat whom I also love. People who scroll through the reviews can pet Snowball. If he gets lots of awards i will get him some wagyu meat

　　　 　　／＞　　フ
　　　 　　| 　_　 _ l
　 　　 　／` ミ＿xノ
　　 　 /　　　 　 |
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ","Community & Social Engagement, Emotional/Affectionate Expression"
This game has been a blast i don't like games usually don't like to play alone but this game is a blast even when by yourself way fun with friends for sure tho,"Player Enjoyment & Fun Factor, Solo vs. Social Play Experience"
w game,"Overall Satisfaction, Gameplay Experience"
10/10 would recommend,Consumer Value Perspective
Very smooth launch and great title already! Can't wait to see more!,"Technical Stability, Overall Enjoyment, Future Content Anticipation"
Its a fun game,"Entertainment Value, Gameplay Enjoyment"
"I played this game a little bit, then I stopped.","Player Engagement, Gameplay Retention"
"Steam says dualsense us supported, it is not","Technical Compatibility, Expectation vs Reality"
.,Unclear / Insufficient Information
"its the best game i've ever had and get it if you want to have a amazing time and the game is crossed with pokimon and ark
","Overall Enjoyment Perspective, Gameplay & Genre Comparison, Consumer Recommendation"
"Okay, I confess. Really like the idea and concept of this game.
Feel so fresh yet familiar to other similar games I'm sure most of my gamer buddies knew and had played it. 

So many fun things to do, but unfortunately so little time I have.

Bought it anyway, because afraid of it will be taken down  aka delisted or got sued or even banned by ridiculous rules and regulations made by (bleep!).

I enjoy it so far. And may coming back to learn more whenever I got the time for it.
Great work, Pocketpair!
Keep those updates coming, never stop creating, let your creativity blooming.

Because similarities are just coincidences, right? Right?!
I don't really care about that. As long as the game itself give you more fun than the 'other' similar one, why not?
(^_^)d","Gameplay Enjoyment & Fun Factor, Comparison to Similar Games & Originality, Developer Support & Game Longevity"
shit game ever,"Overall Enjoyment, Gameplay Quality"
"This game is fun, and hilarious. If you like Pokemon, you'll like this. you can catch so called ""pals"" You can battle with them, and even give them guns and bombs. I've played 125 hours so far and I have not yet been bored playing this. The graphics are also beautiful. Also with Pals you can make them chop down trees, water plants, lay eggs, and more!","Gameplay Enjoyment, Content Longevity, Visual Presentation"
"This game is a testament to how bad AAA games have become, when a smaller studio can not only give the people what they want, but make it unbelievably fun. Its everything the Nintendo fan base have wanted for a long time, and they seethe at the fact. Congrats on the success, please don't disappoint in your updates :D","Consumer Satisfaction & Expectations, AAA vs Indie Industry Comparison, Future Support & Updates Perspective"
fadkgbcxv kSDKFo dsrkjhjfsgb,Unclear / Unintelligible Perspective
i have had an itch for something isn't fps or competitive multiplayer for awhile now and man has this scratched that itch perfectly. The crafting and survival aspects are engaging but not grindy and annoying like some other games in the genre. Capturing new pals or bosses is fun and exciting and the combat with your favorite or new pal is a blast.  Also good to play with a friend but solo is fun as well.,"Gameplay Loop, Genre & Variety Preference, Co-op and Solo Experience"
"What can I say, it's a fantastic game, you always have stuff to do, the more you play, the more fun you have.","Gameplay Loop, Replayability & Engagement"
good,Overall Satisfaction
"This game is addicting. Minus the guns, this shows you very clearly what Scarlet / Violet should have been. The crafting is excellently done. Not complicated and straightforward. The monsters can each feel unique and deadly. Exploration whether to find new mons or just see whats at the top of the highest peak potentially, great.

For an early access title, this is very polished and worth every penny. While I'm not sure this will dethrone Pokemon, I can say for sure that people who play Palworld will definitely look at Pokemons lack of progress very negatively moving forward. It's such a massive glaring hole this game opens your mind to.","Gameplay & Systems Design, Value for Money, Franchise Comparison (Pokemon vs. Palworld)"
Gun models are rather accurate for a lot of the firearms.,"Visual Fidelity, Realism & Authenticity"
i love watching the penguin fellas waddle,"Emotional Enjoyment, Character Appeal"
its aight,Overall Satisfaction
El juego te va a gustar salvo que seas un virgo granoso acaparador de cromosomas fanatico de Nintendo y Pokémon.,"Target Audience Fit, Fanbase / Brand Loyalty Perspective"
"welp....
after about a years break; 
i figured out what i was upto on my main file. continued on with progression. summoned (one of) the new raid boss(es) in some random base.
the fucken arsehole destroyed my entire base in like 1 second. all the crafting mats instantly got sucked into my inventory making me completely immobile.
then she fucked off after 10 minutes of spawn killing me

at least i still have my cake factory LMAOOO

10/10","Gameplay Balance & Difficulty, Player Experience & Emotion"
verry fun,Entertainment Value
ye it be das good,Overall Satisfaction
great game ngl,"Overall Enjoyment, Consumer Value"
"I'm really loving this game, but for some reason now it crashes when I try to open it","Technical Stability, Overall Enjoyment"
Valheim Pokemon,"Genre & Theme Comparison, Franchise Expectation Perspective"
fun with friends,"Social Experience, Multiplayer Enjoyment"
"""Pokemon but with guns""
""ARK meets Pokemon""

Okay but can we talk about how we're allowed to capture PEOPLE then put them to work alongside your Pokemons? Palworld transcends all expectations and more.

EDIT: ADD MORE FURNITURE AND BUILDINGS, I LIKE BUILDING!","Gameplay & Mechanics, Content & Customization"
mememememememe woooo weewoo! <3,Emotional Response
"Amazing game but has some serious issues the developers need to fix.

Randomly resets progress (was able to reload from a backup but still lost 8 hours of progress)

Pal AI and pathing are completely broken. Assigning Pals to a task is super buggy (will say no work available when throwing them directly at something)

Pals will fall under the map and get stuck in rocks and then starve and get injuries.

Pals will leave their assigned task randomly especially after sleeping. I literally had to destroy my stone pit and tree farm as well as place objects over every tree/rock spawn location in order to get them to breed because they would just run off midway and do whatever they wanted.

There is also a bug when throwing spheres on a mount that causes the spheres to get stuck in your hand and you cannot change to another tool/weapon and this can be used to infinitely dupe spheres because it will still throw them after it hits 0.

Biggest issue is the memory leaks on multiplayer servers causing hosted dedicated servers to crash constantly.

Also needs PvP and more endgame content but those are on the developer road map.

The game is really fun to play and has a ton of potential. I will change my review to positive when these issues are addressed.","Technical Stability & Bugs, AI & Pathfinding Behavior, Progression Reliability"
I remember when Pokemon was this fun,"Enjoyment & Fun Factor, Nostalgia & Franchise Legacy"
lanbt,Unclear / Indeterminate Perspective
goty,"Overall Experience, Consumer Value"
"GOOD GAME, PAL WORK FOR FREE","Game Economy & Progression, Ethical/Monetization Perspective"
